group|var_name|var_label|var_type|var_level|t0_var|time_start|time_end|code_type|code_include|code_exclude|notes
misc|studyperiod||custom|||1995-01-01|2022-12-31||||Start and end of studyperiod.
misc|eur_to_dkk||custom||||||7.4509||EUR to DKK exchange rate used in the study. EU centralbank average value in 2023.
misc|speciale_labels||custom||||||01||Intern medicin
misc|speciale_labels||custom||||||02||Geriatri
misc|speciale_labels||custom||||||03||Hepatologi
misc|speciale_labels||custom||||||04||Hæmatologi
misc|speciale_labels||custom||||||05||Infektionsmedicin
misc|speciale_labels||custom||||||06||Kardiologi
misc|speciale_labels||custom||||||07||Medicinsk allergologi
misc|speciale_labels||custom||||||08||Medicinsk endokrinologi
misc|speciale_labels||custom||||||09||Medicinsk gastroenterologi
misc|speciale_labels||custom||||||10||Lungesygdomme
misc|speciale_labels||custom||||||11||Nefrologi
misc|speciale_labels||custom||||||12||Reumatologi
misc|speciale_labels||custom||||||14||Palliativ medicin
misc|speciale_labels||custom||||||15||Akut medicin
misc|speciale_labels||custom||||||18||Dermato-venerologi
misc|speciale_labels||custom||||||20||Neurologi
misc|speciale_labels||custom||||||22||Klinisk onkologi
misc|speciale_labels||custom||||||30||Kirurgi
misc|speciale_labels||custom||||||31||Karkirurgi
misc|speciale_labels||custom||||||32||Kirurgisk gastroenterologi
misc|speciale_labels||custom||||||33||Plastikkirurgi
misc|speciale_labels||custom||||||34||Thoraxkirurgi
misc|speciale_labels||custom||||||35||Urologi
misc|speciale_labels||custom||||||38||Gynækologi og obstetrik
misc|speciale_labels||custom||||||39||Sexologi
misc|speciale_labels||custom||||||40||Neurokirurgi
misc|speciale_labels||custom||||||42||Ortopædisk kirurgi
misc|speciale_labels||custom||||||44||Oftalmologi
misc|speciale_labels||custom||||||46||Oto-, rhino-, laryngologi
misc|speciale_labels||custom||||||48||Tand-, mund- og kæbekirurgi
misc|speciale_labels||custom||||||50||Psykiatri
misc|speciale_labels||custom||||||52||Børne- og ungdomspsykiatri
misc|speciale_labels||custom||||||60||Klinisk biokemi
misc|speciale_labels||custom||||||61||Klinisk fysiologi og nuklearmedicin
misc|speciale_labels||custom||||||62||Klinisk immunologi
misc|speciale_labels||custom||||||63||Klinisk mikrobiologi
misc|speciale_labels||custom||||||64||Klinisk neurofysiologi
misc|speciale_labels||custom||||||65||Patologisk anatomi
misc|speciale_labels||custom||||||66||Radiologi
misc|speciale_labels||custom||||||67||Klinisk farmakologi
misc|speciale_labels||custom||||||68||Klinisk genetik
misc|speciale_labels||custom||||||80||Pædiatri
misc|speciale_labels||custom||||||84||Anæstesiologi
misc|speciale_labels||custom||||||86||Arbejdsmedicin
misc|speciale_labels||custom||||||90||Almen medicin
misc|speciale_labels||custom||||||91||Samfundsmedicin
misc|speciale_labels||custom||||||92||Retsmedicin
misc|speciale_labels||custom||||||98||Fysio- og ergoterapi
misc|speciale_labels||custom||||||99||Afsnit som ikke lader sig klassificere
misc|speciale_labels||custom||||||00||Blandet medicin
bd_def|bd_00|Any brain disorder|custom||||||||
bd_def|bd_01|Alcohol abuse||||||icd10|F10 E244 G312 G621 G721 I426    K292 K70 K852 K860 Q860 Z502 Z714|F100|
bd_def|bd_01|Alcohol abuse||||||atc|V03AA N07BB||
bd_def|bd_01|Alcohol abuse||||||indo|||
bd_def|bd_02|Anxiety disorders||||||icd10|F40 F41 F42||
bd_def|bd_02|Anxiety disorders||||||atc|N06A||
bd_def|bd_02|Anxiety disorders||||||indo|371 830 163||
bd_def|bd_03|Bipolar disorder||||||icd10|F30 F31||
bd_def|bd_03|Bipolar disorder||||||atc|N05AN01||
bd_def|bd_03|Bipolar disorder||||||indo|||
bd_def|bd_04|Brain tumors||||||icd10|C70 C71 C72 D32 D33 D42 D43||
bd_def|bd_04|Brain tumors||||||atc|||
bd_def|bd_04|Brain tumors||||||indo|||
bd_def|bd_05|Cerebral palsy||||||icd10|G80||
bd_def|bd_05|Cerebral palsy||||||atc|||
bd_def|bd_05|Cerebral palsy||||||indo|||
bd_def|bd_06|Dementia||||||icd10|B220A F00 F01 F02 F03    F1073 F1173 F1273 F1373 F1473 F1573 F1673 F1873 F1973    G30 G310B G311 G318 G319||
bd_def|bd_06|Dementia||||||atc|N06D||
bd_def|bd_06|Dementia||||||indo|||
bd_def|bd_07|Depression||||||icd10|F32 F33||
bd_def|bd_07|Depression||||||atc|N06A||
bd_def|bd_07|Depression||||||indo|168 270||
bd_def|bd_08|Developmental and behavioural disorders||||||icd10|F84 F9|F99|
bd_def|bd_08|Developmental and behavioural disorders||||||atc|N06BA02 N06BA04 N06BA09 NA06BA12 C02AC02||
bd_def|bd_08|Developmental and behavioural disorders||||||indo|375 376 391||
bd_def|bd_09|Drug abuse||||||icd10|F1 Z722 Z8644|F10 F110 F130 F17 F180|
bd_def|bd_09|Drug abuse||||||atc|N07BC01 N07BC51||
bd_def|bd_09|Drug abuse||||||indo|||
bd_def|bd_10|Eating disorders||||||icd10|F500 F501 F502 F503||
bd_def|bd_10|Eating disorders||||||atc|||
bd_def|bd_10|Eating disorders||||||indo|||
bd_def|bd_11|Epilepsy||||||icd10|G40||
bd_def|bd_11|Epilepsy||||||atc|||
bd_def|bd_11|Epilepsy||||||indo|||
bd_def|bd_12|Headache||||||icd10|G43 G44||
bd_def|bd_12|Headache||||||atc|N02C||
bd_def|bd_12|Headache||||||indo|||
bd_def|bd_13|Infections of the CNS||||||icd10|G0 A17 A321 A390 A521 A522 A523 A83 A84 A85 A87 A89    B003 B004 B010 B011 B020 B021 B582 B451 B375|G08 G09|
bd_def|bd_13|Infections of the CNS||||||atc|||
bd_def|bd_13|Infections of the CNS||||||indo|||
bd_def|bd_14|Intellectual disability||||||icd10|F7 Q90 Q992||
bd_def|bd_14|Intellectual disability||||||atc|||
bd_def|bd_14|Intellectual disability||||||indo|||
bd_def|bd_15|Multiple sclerosis||||||icd10|G35||
bd_def|bd_15|Multiple sclerosis||||||atc|||
bd_def|bd_15|Multiple sclerosis||||||indo|||
bd_def|bd_16|Neuromuscular disorders||||||icd10|G70 G71 G72 G73||
bd_def|bd_16|Neuromuscular disorders||||||atc|||
bd_def|bd_16|Neuromuscular disorders||||||indo|||
bd_def|bd_17|Other neurodegenerative disorders||||||icd10|G10 G11 G12 G13 G14|G130 G139|
bd_def|bd_17|Other neurodegenerative disorders||||||atc|||
bd_def|bd_17|Other neurodegenerative disorders||||||indo|||
bd_def|bd_18|Parkinson’s disease||||||icd10|G20 G23||
bd_def|bd_18|Parkinson’s disease||||||atc|N04BA N04BB N04BD N04BX||
bd_def|bd_18|Parkinson’s disease||||||indo|||
bd_def|bd_19|Personality disorders||||||icd10|F60||
bd_def|bd_19|Personality disorders||||||atc|||
bd_def|bd_19|Personality disorders||||||indo|||
bd_def|bd_20|Polyneuropathy||||||icd10|G60 G61 G62 G63 G64 G130||
bd_def|bd_20|Polyneuropathy||||||atc|||
bd_def|bd_20|Polyneuropathy||||||indo|||
bd_def|bd_21|Schizophrenia spectrum disorders||||||icd10|F2||
bd_def|bd_21|Schizophrenia spectrum disorders||||||atc|||
bd_def|bd_21|Schizophrenia spectrum disorders||||||indo|||
bd_def|bd_22|Sleep disorders||||||icd10|F51 G470 G471 G473 G474||
bd_def|bd_22|Sleep disorders||||||atc|N05CF01 N05CH01 N06BA07 N06BA14 N07XX04 N07XX11||
bd_def|bd_22|Sleep disorders||||||indo|||
